lambda,error
0.0,0.9550388876867545
0.04,0.9548578415022396
0.08,0.9546829844549043
0.12,0.9545143146069981
0.16,0.9543518300213951
0.2,0.9541955287615772
0.24,0.9540454088916277
0.28,0.953901468476252
0.32,0.9537637055807644
0.36,0.9536321182710858
0.4,0.9535067046137461
0.44,0.9533874626758887
0.48,0.9532743905252659
0.52,0.9531674862302466
0.56,0.9530667478597894
0.6,0.9529721734834858
0.64,0.9528837611715111
0.68,0.9528015089946676
0.72,0.9527254150243634
0.76,0.9526554773326109
0.8,0.9525916939920305
0.84,0.9525340630758543
0.88,0.9524825826579104
0.92,0.9524372508126503
0.96,0.9523980656151266
1.0,0.9523650251409924
1.04,0.9523381274665064
1.08,0.9523173706685489
1.12,0.952302752824599
1.16,0.9522942720127304
1.2,0.9522919263116313
1.24,0.9522957138006114
1.28,0.952305632559553
1.32,0.9523216806689659
1.36,0.9523438562099633
1.4,0.9523721572642623
1.44,0.9524065819141734
1.48,0.9524471282426238
1.52,0.9524937943331377
1.56,0.9525465782698553
1.6,0.9526054781375044
1.64,0.9526704920214254
1.68,0.9527416180075607
1.72,0.9528188541824467
1.76,0.9529021986332404
1.8,0.9529916494476893
1.84,0.9530872047141432
1.88,0.9531888625215648
1.92,0.9532966209594983
1.96,0.9534104781181112
